id_producto,id_restaurante,nombre_producto,categoria,precio_soles,descripcion,disponible
84,14,Parrilla mixta,Parrilla,54.38,Parrilla mixta preparado al estilo parrilla,NO
85,14,Costillas BBQ,Parrilla,26.67,Costillas BBQ preparado al estilo parrilla,SI
86,14,Lomo fino,Parrilla,42.72,Lomo fino preparado al estilo parrilla,NO
87,14,Salchicha parrillera,Parrilla,55.0,Salchicha parrillera preparado al estilo parrilla,SI
88,14,Chorizo artesanal,Parrilla,24.36,Chorizo artesanal preparado al estilo parrilla,SI
89,14,Pollo a la parrilla,Parrilla,55.0,Pollo a la parrilla preparado al estilo parrilla,SI
90,15,Hotdog,Hamburguesería,30.91,Hotdog preparado al estilo hamburguesería,SI
91,15,Papas fritas,Hamburguesería,25.56,Papas fritas preparado al estilo hamburguesería,SI
92,15,Combo burger,Hamburguesería,32.78,Combo burger preparado al estilo hamburguesería,SI
93,15,Hamburguesa clásica,Hamburguesería,29.9,Hamburguesa clásica preparado al estilo hamburguesería,SI
94,16,Arroz chaufa,Chifa,31.21,Arroz chaufa preparado al estilo chifa,SI
95,16,Tallarín saltado,Chifa,32.15,Tallarín saltado preparado al estilo chifa,SI
96,16,Wantán frito,Chifa,21.59,Wantán frito preparado al estilo chifa,SI
97,16,Sopa wantán,Chifa,33.51,Sopa wantán preparado al estilo chifa,SI
98,16,Lomo saltado,Chifa,22.4,Lomo saltado preparado al estilo chifa,SI
99,16,Aeropuerto,Chifa,13.86,Aeropuerto preparado al estilo chifa,NO
100,16,Kam lu wantán,Chifa,21.52,Kam lu wantán preparado al estilo chifa,SI
101,17,Wantán frito,Chifa,16.64,Wantán frito preparado al estilo chifa,SI
102,17,Lomo saltado,Chifa,31.45,Lomo saltado preparado al estilo chifa,SI
103,17,Tallarín saltado,Chifa,31.17,Tallarín saltado preparado al estilo chifa,SI
104,17,Arroz chaufa,Chifa,12.46,Arroz chaufa preparado al estilo chifa,NO
105,17,Sopa wantán,Chifa,25.37,Sopa wantán preparado al estilo chifa,SI
106,17,Arroz frito especial,Chifa,22.25,Arroz frito especial preparado al estilo chifa,SI
107,17,Aeropuerto,Chifa,34.14,Aeropuerto preparado al estilo chifa,SI
108,18,Gyoza,Sushi,20.24,Gyoza preparado al estilo sushi,SI
109,18,Sashimi mixto,Sushi,38.79,Sashimi mixto preparado al estilo sushi,SI
110,18,Roll tempura,Sushi,47.71,Roll tempura preparado al estilo sushi,SI
111,18,Edamame,Sushi,48.28,Edamame preparado al estilo sushi,SI
112,18,Nigiri salmón,Sushi,49.35,Nigiri salmón preparado al estilo sushi,SI
113,19,Arroz con mariscos,Cevichería,42.54,Arroz con mariscos preparado al estilo cevichería,SI
114,19,Leche de tigre,Cevichería,21.18,Leche de tigre preparado al estilo cevichería,NO
115,19,Ceviche clásico,Cevichería,39.93,Ceviche clásico preparado al estilo cevichería,SI
116,19,Ceviche mixto,Cevichería,27.63,Ceviche mixto preparado al estilo cevichería,SI
117,19,Choritos a la chalaca,Cevichería,35.51,Choritos a la chalaca preparado al estilo cevichería,SI
118,19,Sudado de pescado,Cevichería,41.47,Sudado de pescado preparado al estilo cevichería,SI
119,20,Choritos a la chalaca,Cevichería,32.64,Choritos a la chalaca preparado al estilo cevichería,SI
120,20,Ceviche mixto,Cevichería,46.82,Ceviche mixto preparado al estilo cevichería,SI
121,20,Pulpo al olivo,Cevichería,23.82,Pulpo al olivo preparado al estilo cevichería,SI
122,20,Leche de tigre,Cevichería,41.88,Leche de tigre preparado al estilo cevichería,SI
123,20,Tiradito,Cevichería,41.95,Tiradito preparado al estilo cevichería,SI
124,20,Sudado de pescado,Cevichería,41.06,Sudado de pescado preparado al estilo cevichería,SI
125,20,Ceviche clásico,Cevichería,22.06,Ceviche clásico preparado al estilo cevichería,NO
126,20,Arroz con mariscos,Cevichería,23.79,Arroz con mariscos preparado al estilo cevichería,NO
127,21,Combo burger,Hamburguesería,15.54,Combo burger preparado al estilo hamburguesería,SI
128,21,Hamburguesa clásica,Hamburguesería,18.79,Hamburguesa clásica preparado al estilo hamburguesería,SI
129,21,Nuggets,Hamburguesería,24.68,Nuggets preparado al estilo hamburguesería,SI
130,21,Onion rings,Hamburguesería,12.75,Onion rings preparado al estilo hamburguesería,SI
131,21,Papas fritas,Hamburguesería,37.76,Papas fritas preparado al estilo hamburguesería,SI
132,21,Alitas BBQ,Hamburguesería,12.69,Alitas BBQ preparado al estilo hamburguesería,SI
133,21,Hamburguesa doble,Hamburguesería,12.26,Hamburguesa doble preparado al estilo hamburguesería,SI
134,22,Pollo a la parrilla,Parrilla,28.74,Pollo a la parrilla preparado al estilo parrilla,NO
135,22,Mollejas a la parrilla,Parrilla,55.0,Mollejas a la parrilla preparado al estilo parrilla,SI
136,22,Anticucho,Parrilla,55.0,Anticucho preparado al estilo parrilla,SI
137,22,Costillas BBQ,Parrilla,23.18,Costillas BBQ preparado al estilo parrilla,SI
138,22,Parrilla mixta,Parrilla,35.61,Parrilla mixta preparado al estilo parrilla,SI
139,23,Lasagna,Pizzería,40.93,Lasagna preparado al estilo pizzería,SI
140,23,Pan al ajo,Pizzería,34.6,Pan al ajo preparado al estilo pizzería,SI
141,23,Pizza familiar,Pizzería,42.1,Pizza familiar preparado al estilo pizzería,SI
142,23,Pizza personal,Pizzería,16.43,Pizza personal preparado al estilo pizzería,SI
143,23,Calzone,Pizzería,20.76,Calzone preparado al estilo pizzería,SI
144,23,Bruschetta,Pizzería,25.47,Bruschetta preparado al estilo pizzería,SI
145,23,Pizza mediana,Pizzería,17.22,Pizza mediana preparado al estilo pizzería,SI
146,23,Pasta bolognesa,Pizzería,41.17,Pasta bolognesa preparado al estilo pizzería,SI
147,24,Arroz con leche,Restaurante Criollo,15.95,Arroz con leche preparado al estilo restaurante criollo,SI
148,24,Seco de pollo,Restaurante Criollo,19.32,Seco de pollo preparado al estilo restaurante criollo,SI
149,24,Causa limeña,Restaurante Criollo,28.44,Causa limeña preparado al estilo restaurante criollo,SI
150,24,Carapulcra,Restaurante Criollo,36.09,Carapulcra preparado al estilo restaurante criollo,SI
151,24,Tacu tacu,Restaurante Criollo,31.28,Tacu tacu preparado al estilo restaurante criollo,SI
152,24,Ají de gallina,Restaurante Criollo,17.22,Ají de gallina preparado al estilo restaurante criollo,SI
153,24,Escabeche de pollo,Restaurante Criollo,35.56,Escabeche de pollo preparado al estilo restaurante criollo,NO
154,25,Aeropuerto,Chifa,16.14,Aeropuerto preparado al estilo chifa,SI
155,25,Sopa wantán,Chifa,18.54,Sopa wantán preparado al estilo chifa,SI
156,25,Arroz chaufa,Chifa,20.52,Arroz chaufa preparado al estilo chifa,SI
157,25,Kam lu wantán,Chifa,22.37,Kam lu wantán preparado al estilo chifa,SI
158,25,Arroz frito especial,Chifa,26.4,Arroz frito especial preparado al estilo chifa,SI
159,25,Wantán frito,Chifa,24.18,Wantán frito preparado al estilo chifa,SI
160,25,Tallarín saltado,Chifa,14.28,Tallarín saltado preparado al estilo chifa,SI
161,25,Lomo saltado,Chifa,25.37,Lomo saltado preparado al estilo chifa,SI
162,26,Mollejas a la parrilla,Parrilla,37.45,Mollejas a la parrilla preparado al estilo parrilla,SI
163,26,Chorizo artesanal,Parrilla,55.0,Chorizo artesanal preparado al estilo parrilla,NO
164,26,Costillas BBQ,Parrilla,21.58,Costillas BBQ preparado al estilo parrilla,SI
165,26,Anticucho,Parrilla,55.0,Anticucho preparado al estilo parrilla,SI
166,26,Pollo a la parrilla,Parrilla,55.0,Pollo a la parrilla preparado al estilo parrilla,SI
167,26,Salchicha parrillera,Parrilla,55.0,Salchicha parrillera preparado al estilo parrilla,SI
168,26,Lomo fino,Parrilla,28.55,Lomo fino preparado al estilo parrilla,SI
169,27,Club sándwich,Sanguchería,18.7,Club sándwich preparado al estilo sanguchería,SI
170,27,Pan con bistec,Sanguchería,14.68,Pan con bistec preparado al estilo sanguchería,SI
171,27,Pan con jamón del país,Sanguchería,18.74,Pan con jamón del país preparado al estilo sanguchería,SI
172,27,Sánguche de chicharrón,Sanguchería,17.36,Sánguche de chicharrón preparado al estilo sanguchería,SI
173,28,Lomo saltado,Chifa,32.19,Lomo saltado preparado al estilo chifa,SI
174,28,Kam lu wantán,Chifa,16.48,Kam lu wantán preparado al estilo chifa,SI
175,28,Wantán frito,Chifa,23.8,Wantán frito preparado al estilo chifa,SI
176,28,Aeropuerto,Chifa,20.85,Aeropuerto preparado al estilo chifa,NO
177,28,Sopa wantán,Chifa,15.64,Sopa wantán preparado al estilo chifa,SI
178,28,Arroz chaufa,Chifa,31.85,Arroz chaufa preparado al estilo chifa,NO
179,29,Salchicha parrillera,Parrilla,30.87,Salchicha parrillera preparado al estilo parrilla,SI
180,29,Pollo a la parrilla,Parrilla,31.26,Pollo a la parrilla preparado al estilo parrilla,SI
181,29,Costillas BBQ,Parrilla,55.0,Costillas BBQ preparado al estilo parrilla,SI
182,29,Mollejas a la parrilla,Parrilla,55.0,Mollejas a la parrilla preparado al estilo parrilla,SI
183,29,Chorizo artesanal,Parrilla,54.24,Chorizo artesanal preparado al estilo parrilla,SI
184,30,Hamburguesa clásica,Hamburguesería,8.39,Hamburguesa clásica preparado al estilo hamburguesería,SI
185,30,Nuggets,Hamburguesería,26.88,Nuggets preparado al estilo hamburguesería,SI
186,30,Alitas BBQ,Hamburguesería,38.44,Alitas BBQ preparado al estilo hamburguesería,SI
187,30,Papas fritas,Hamburguesería,14.66,Papas fritas preparado al estilo hamburguesería,SI
188,30,Hamburguesa doble,Hamburguesería,15.94,Hamburguesa doble preparado al estilo hamburguesería,SI
